"","IncidentMonth","IncidentWeekOfMonth","IncidentDayOfWeek","Make","IncidentAddressType","DeclarationDayOfWeek","DeclarationMonth","DeclarationWeekOfMonth","DriverGender","DriverMaritalStatus","DriverAge","Fault","PolicyType","VehicleCategory","VehiclePrice","FraudFound","PolicyNumber","RepairerDetailID","Deductible","DriverRating","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChangeClaim","NumberOfCars","IncidentYear","BasePolicy"
"6082","Jun",1,"Sunday","Mazda","Urban","Tuesday","Jun",3,"Male","Single",26,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",1,4267,8,400,2,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"6083","Sep",4,"Friday","Chevrolet","Urban","Monday","Sep",4,"Male","Married",49,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,13310,4,400,1,"more than 30","more than 30","none","7 years","41 to 50","Yes","No","Internal","none","no change","1 vehicle",1996,"Collision"
"6084","Dec",3,"Wednesday","Pontiac","Urban","Friday","Dec",4,"Male","Single",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,8044,13,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","4 to 8 years","2 vehicles",1995,"Collision"
"6085","Feb",1,"Saturday","Mazda","Urban","Monday","Feb",1,"Male","Married",48,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,1903,6,400,2,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Collision"
"6086","Feb",2,"Monday","Toyota","Urban","Wednesday","Feb",3,"Male","Single",42,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,13791,4,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6087","Feb",4,"Friday","Honda","Urban","Friday","Feb",4,"Male","Single",71,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,1876,11,400,1,"more than 30","more than 30","1","new","over 65","No","No","External","none","no change","1 vehicle",1994,"Liability"
"6088","Apr",1,"Wednesday","Toyota","Urban","Wednesday","Apr",1,"Male","Married",54,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,11141,9,400,4,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Liability"
"6089","Feb",2,"Tuesday","Toyota","Urban","Thursday","Feb",2,"Female","Single",25,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,12434,14,400,4,"more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1996,"Liability"
"6090","Feb",3,"Wednesday","Pontiac","Urban","Monday","Feb",4,"Male","Married",41,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,8498,12,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"6091","Oct",2,"Monday","Toyota","Urban","Friday","Oct",2,"Male","Married",42,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14949,12,400,3,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"6092","Mar",5,"Monday","Toyota","Urban","Friday","Apr",1,"Female","Single",29,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,7476,10,400,2,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"6093","May",4,"Monday","Pontiac","Urban","Monday","May",4,"Male","Single",63,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,5189,15,400,1,"more than 30","more than 30","1","more than 7","51 to 65","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"6094","Jan",2,"Wednesday","Chevrolet","Urban","Monday","Jul",3,"Male","Married",56,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,9762,12,400,1,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","1 to 2","no change","1 vehicle",1995,"Collision"
"6095","May",3,"Saturday","Pontiac","Urban","Wednesday","May",4,"Male","Married",76,"Policy Holder","Sedan - Collision","Sedan","more than 69000",0,14978,14,400,4,"more than 30","more than 30","2 to 4","more than 7","over 65","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"6096","Sep",2,"Thursday","Pontiac","Urban","Friday","Sep",2,"Male","Married",45,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,1834,1,400,3,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1994,"Liability"
"6097","Mar",1,"Thursday","Honda","Urban","Thursday","Mar",2,"Male","Married",39,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,13555,11,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1996,"All Perils"
"6098","May",3,"Thursday","VW","Urban","Friday","May",3,"Male","Married",28,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,9475,10,400,4,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"6099","Oct",4,"Saturday","Toyota","Urban","Tuesday","Oct",4,"Male","Married",41,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,8066,16,400,2,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1995,"All Perils"
"6100","May",1,"Friday","Pontiac","Urban","Tuesday","May",5,"Male","Married",27,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,9752,8,400,4,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Liability"
"6101","Oct",2,"Saturday","Pontiac","Urban","Wednesday","Oct",2,"Male","Married",27,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,15094,6,400,2,"more than 30","more than 30","none","5 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1996,"All Perils"
"6102","Sep",5,"Friday","Pontiac","Urban","Tuesday","Oct",1,"Male","Single",27,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,3182,6,400,1,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
"6103","Aug",5,"Wednesday","Accura","Urban","Friday","Sep",4,"Male","Single",41,"Policy Holder","Utility - All Perils","Utility","more than 69000",1,14336,5,400,4,"more than 30","more than 30","1","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"6104","Aug",4,"Monday","Honda","Urban","Friday","Aug",4,"Female","Married",47,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,8033,10,400,2,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"6105","Feb",4,"Monday","Pontiac","Urban","Monday","Feb",4,"Male","Married",53,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,10346,16,400,4,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1995,"All Perils"
"6106","Aug",2,"Saturday","Chevrolet","Urban","Wednesday","Oct",2,"Female","Single",32,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,13524,5,400,2,"more than 30","more than 30","1","3 years","31 to 35","No","No","External","3 to 5","no change","1 vehicle",1996,"All Perils"
"6107","Mar",3,"Monday","Mazda","Urban","Tuesday","Mar",4,"Male","Married",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,10928,15,400,3,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"6108","Jun",3,"Monday","Honda","Urban","Tuesday","Jun",3,"Male","Married",43,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,14192,11,400,4,"more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Liability"
"6109","Dec",5,"Thursday","Ford","Urban","Monday","Jan",1,"Male","Married",32,"Third Party","Sedan - Collision","Sedan","40000 to 59000",0,8924,7,400,4,"more than 30","more than 30","2 to 4","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Collision"
"6110","Sep",5,"Friday","Chevrolet","Urban","Tuesday","Oct",1,"Male","Single",28,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,3284,4,400,2,"more than 30","more than 30","1","7 years","31 to 35","Yes","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"6111","Apr",2,"Monday","Honda","Urban","Friday","Oct",2,"Female","Married",40,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,1604,12,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"6112","Nov",2,"Monday","Chevrolet","Urban","Monday","Nov",2,"Male","Single",26,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,7389,10,400,1,"more than 30","more than 30","2 to 4","4 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Liability"
"6113","Aug",3,"Saturday","Mazda","Urban","Thursday","Oct",3,"Female","Single",44,"Policy Holder","Sedan - Liability","Sport","40000 to 59000",0,7256,14,400,4,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","Internal","more than 5","no change","1 vehicle",1995,"Liability"
"6114","Aug",2,"Wednesday","Toyota","Urban","Tuesday","Aug",3,"Male","Married",42,"Third Party","Sedan - Liability","Sport","30000 to 39000",0,9677,11,400,3,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","none","no change","3 to 4",1995,"Liability"
"6115","Jul",4,"Monday","Mazda","Urban","Tuesday","Jul",4,"Male","Married",30,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,13727,15,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6116","Dec",1,"Sunday","Pontiac","Urban","Wednesday","Dec",2,"Male","Married",34,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,13467,8,400,4,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"6117","Oct",2,"Saturday","Pontiac","Urban","Friday","Oct",2,"Female","Single",25,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,3405,5,400,4,"more than 30","more than 30","1","5 years","26 to 30","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"6118","Jun",4,"Monday","Pontiac","Urban","Wednesday","Sep",5,"Male","Married",42,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,9846,13,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"6119","Jun",1,"Sunday","Toyota","Urban","Thursday","Jul",2,"Male","Married",56,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,2163,1,400,4,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Collision"
"6120","Dec",3,"Monday","Pontiac","Urban","Thursday","Dec",4,"Male","Single",18,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,3049,8,400,3,"more than 30","more than 30","2 to 4","4 years","21 to 25","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"6121","Jun",2,"Friday","Pontiac","Urban","Wednesday","Jun",3,"Male","Single",28,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,4962,6,400,2,"more than 30","more than 30","more than 4","7 years","31 to 35","No","No","External","1 to 2","no change","3 to 4",1994,"Liability"
"6122","Apr",1,"Wednesday","Honda","Urban","Monday","Apr",2,"Male","Married",48,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14841,11,400,1,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6123","Jan",4,"Tuesday","Pontiac","Urban","Wednesday","Jan",4,"Male","Married",32,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,5076,12,400,4,"more than 30","more than 30","2 to 4","7 years","31 to 35","Yes","Yes","External","more than 5","no change","1 vehicle",1994,"All Perils"
"6124","Dec",4,"Friday","Mazda","Urban","Monday","Jan",2,"Male","Single",31,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,66,6,400,3,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"6125","Mar",1,"Thursday","Honda","Urban","Friday","Mar",1,"Female","Married",37,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,10817,5,400,3,"more than 30","more than 30","more than 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Liability"
"6126","Apr",4,"Monday","Toyota","Urban","Monday","May",2,"Male","Single",44,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,11770,3,400,4,"more than 30","more than 30","1","6 years","36 to 40","No","No","External","1 to 2","no change","1 vehicle",1996,"Collision"
"6127","Jul",2,"Friday","Honda","Urban","Tuesday","Jul",2,"Female","Married",43,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,10550,6,400,2,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"Collision"
"6128","Jul",4,"Friday","VW","Urban","Tuesday","Jul",4,"Male","Married",58,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,5835,2,400,3,"more than 30","more than 30","2 to 4","7 years","51 to 65","No","No","External","none","no change","1 vehicle",1994,"Liability"
"6129","Nov",2,"Monday","VW","Urban","Monday","Nov",2,"Male","Married",64,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,7528,9,400,4,"more than 30","more than 30","none","more than 7","51 to 65","Yes","No","External","1 to 2","no change","1 vehicle",1995,"Collision"
"6130","Aug",1,"Friday","Toyota","Urban","Monday","Aug",2,"Male","Married",31,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,13634,11,400,3,"more than 30","more than 30","1","5 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1996,"All Perils"
"6131","Apr",1,"Tuesday","Mercury","Urban","Tuesday","Apr",1,"Male","Married",48,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,5206,4,400,2,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"Liability"
"6132","Jan",5,"Sunday","Chevrolet","Urban","Wednesday","Feb",1,"Male","Single",26,"Third Party","Sedan - All Perils","Sedan","30000 to 39000",0,9723,11,400,3,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"All Perils"
"6133","Mar",1,"Friday","Chevrolet","Rural","Friday","Mar",2,"Male","Married",41,"Policy Holder","Sedan - All Perils","Sedan","more than 69000",0,8656,13,400,2,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"6134","Oct",2,"Tuesday","Chevrolet","Urban","Monday","Oct",3,"Female","Married",45,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,15047,2,400,2,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1996,"Liability"
"6135","Jan",1,"Monday","Honda","Urban","Friday","Feb",4,"Male","Married",50,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,4673,14,400,4,"more than 30","more than 30","none","7 years","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"All Perils"
"6136","Mar",1,"Saturday","Honda","Urban","Monday","Mar",1,"Male","Married",52,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,11909,4,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1996,"Liability"
"6137","Oct",3,"Tuesday","Toyota","Urban","Wednesday","Oct",3,"Female","Married",37,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,11487,4,400,1,"more than 30","more than 30","2 to 4","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6138","Feb",4,"Tuesday","Honda","Urban","Wednesday","Feb",4,"Male","Single",23,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,5981,8,400,4,"more than 30","more than 30","2 to 4","5 years","26 to 30","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"6139","Sep",1,"Saturday","Pontiac","Urban","Monday","Nov",2,"Female","Married",33,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",1,6107,3,400,4,"more than 30","more than 30","none","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"All Perils"
"6140","Sep",1,"Tuesday","Honda","Urban","Wednesday","Sep",2,"Female","Single",54,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,10868,8,400,3,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Liability"
"6141","May",4,"Thursday","Chevrolet","Urban","Friday","May",4,"Male","Single",35,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,15344,6,400,3,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6142","Jan",2,"Wednesday","Toyota","Urban","Thursday","Jan",2,"Male","Married",36,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,13282,1,400,3,"more than 30","more than 30","more than 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1996,"Liability"
"6143","Dec",1,"Wednesday","Ford","Urban","Wednesday","Dec",1,"Male","Single",33,"Third Party","Sedan - Collision","Sedan","30000 to 39000",0,9870,13,400,3,"more than 30","more than 30","none","6 years","31 to 35","No","No","Internal","1 to 2","no change","1 vehicle",1995,"Collision"
"6144","Dec",4,"Tuesday","Toyota","Urban","Thursday","Jan",1,"Male","Single",27,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",1,8874,1,400,2,"more than 30","more than 30","1","7 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1995,"Collision"
"6145","Jul",1,"Thursday","Toyota","Urban","Friday","Jul",2,"Male","Married",47,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,2746,8,400,1,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"6146","Sep",3,"Tuesday","Pontiac","Urban","Tuesday","Oct",2,"Male","Married",34,"Third Party","Sedan - Collision","Sedan","20000 to 29000",0,14681,16,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","Yes","No","External","none","no change","1 vehicle",1996,"Collision"
"6147","Feb",1,"Monday","Chevrolet","Urban","Monday","Feb",1,"Male","Single",49,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,13601,13,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1996,"Liability"
"6148","Feb",1,"Wednesday","Accura","Rural","Friday","Feb",1,"Male","Married",60,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,13669,8,500,1,"more than 30","more than 30","none","7 years","51 to 65","No","No","External","more than 5","2 to 3 years","1 vehicle",1996,"All Perils"
"6149","Apr",1,"Monday","Accura","Rural","Tuesday","Apr",1,"Male","Married",55,"Third Party","Sedan - Liability","Sport","more than 69000",0,9460,11,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"6150","May",2,"Monday","Honda","Urban","Tuesday","May",2,"Female","Single",26,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,5676,8,400,3,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1994,"Liability"
"6151","Oct",3,"Wednesday","Mazda","Urban","Wednesday","Oct",3,"Male","Married",45,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,500,12,400,1,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Collision"
"6152","Jul",5,"Monday","Toyota","Urban","Wednesday","Aug",1,"Male","Single",28,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,938,14,400,4,"more than 30","more than 30","1","6 years","31 to 35","No","No","External","more than 5","no change","1 vehicle",1994,"Collision"
"6153","Jan",1,"Monday","Pontiac","Urban","Tuesday","Jan",1,"Female","Married",43,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",1,9056,6,400,2,"more than 30","more than 30","none","more than 7","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"6154","Feb",3,"Thursday","Honda","Urban","Friday","Feb",3,"Male","Married",35,"Policy Holder","Sport - Collision","Sport","more than 69000",1,10157,5,400,4,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Collision"
"6155","Nov",2,"Monday","Mazda","Urban","Wednesday","Nov",2,"Male","Single",20,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,11544,15,400,2,"more than 30","more than 30","more than 4","2 years","21 to 25","Yes","No","External","1 to 2","no change","1 vehicle",1996,"Liability"
"6156","Nov",3,"Tuesday","Pontiac","Urban","Friday","Nov",3,"Male","Married",54,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,10847,9,400,4,"more than 30","more than 30","none","6 years","41 to 50","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"6157","Oct",4,"Monday","Mazda","Urban","Wednesday","Oct",4,"Male","Married",45,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",1,7462,4,400,1,"more than 30","more than 30","none","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"All Perils"
"6158","Mar",1,"Saturday","Accura","Urban","Tuesday","Mar",2,"Female","Married",55,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,2027,11,400,1,"more than 30","more than 30","2 to 4","7 years","41 to 50","No","No","External","none","no change","1 vehicle",1994,"Liability"
"6159","Apr",3,"Saturday","Mazda","Urban","Tuesday","Apr",3,"Male","Married",72,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,11556,10,400,3,"more than 30","more than 30","none","more than 7","over 65","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"6160","May",3,"Wednesday","Pontiac","Urban","Tuesday","May",4,"Male","Married",58,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,12406,11,400,3,"more than 30","more than 30","none","more than 7","51 to 65","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6161","Oct",4,"Wednesday","Toyota","Urban","Saturday","Nov",1,"Male","Married",45,"Policy Holder","Sedan - Liability","Sport","20000 to 29000",0,1380,16,400,1,"more than 30","more than 30","1","7 years","36 to 40","No","No","External","none","no change","1 vehicle",1994,"Liability"
"6162","Apr",3,"Sunday","Honda","Urban","Wednesday","Apr",4,"Male","Single",34,"Policy Holder","Sedan - All Perils","Sedan","20000 to 29000",0,8265,8,400,3,"more than 30","more than 30","2 to 4","5 years","31 to 35","No","No","External","1 to 2","no change","1 vehicle",1995,"All Perils"
"6163","Oct",3,"Monday","Honda","Urban","Monday","Oct",3,"Male","Married",40,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,9406,5,400,2,"more than 30","more than 30","2 to 4","6 years","36 to 40","No","No","External","none","no change","1 vehicle",1995,"Collision"
"6164","May",5,"Tuesday","Ford","Urban","Thursday","Jun",1,"Male","Married",53,"Policy Holder","Sedan - Liability","Sport","60000 to 69000",0,1719,9,400,3,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","Internal","3 to 5","no change","1 vehicle",1994,"Liability"
"6165","May",3,"Sunday","Chevrolet","Rural","Thursday","May",4,"Male","Married",49,"Policy Holder","Utility - All Perils","Utility","more than 69000",0,4023,14,400,4,"more than 30","more than 30","1","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"All Perils"
"6166","Dec",2,"Wednesday","Mazda","Urban","Tuesday","Dec",3,"Female","Married",47,"Third Party","Sedan - Collision","Sedan","more than 69000",0,665,15,400,1,"more than 30","more than 30","1","7 years","41 to 50","No","No","External","1 to 2","no change","1 vehicle",1994,"Collision"
"6167","Jan",3,"Thursday","Honda","Urban","Monday","Jan",4,"Female","Married",48,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,12285,8,400,1,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"6168","Jan",2,"Friday","Honda","Urban","Friday","Jan",2,"Male","Married",65,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,12014,9,400,1,"more than 30","more than 30","2 to 4","more than 7","51 to 65","No","No","External","1 to 2","no change","3 to 4",1996,"Collision"
"6169","Feb",1,"Wednesday","Honda","Urban","Thursday","Feb",1,"Male","Married",74,"Third Party","Sedan - All Perils","Sedan","20000 to 29000",0,8486,7,400,4,"more than 30","more than 30","none","more than 7","over 65","No","No","External","1 to 2","no change","1 vehicle",1995,"All Perils"
"6170","Mar",3,"Monday","Mazda","Urban","Tuesday","Mar",4,"Female","Married",40,"Policy Holder","Sedan - Liability","Sport","more than 69000",0,6177,5,400,3,"more than 30","more than 30","more than 4","7 years","36 to 40","No","No","External","more than 5","no change","1 vehicle",1995,"Liability"
"6171","Feb",4,"Wednesday","Saturn","Urban","Wednesday","Feb",4,"Male","Single",34,"Policy Holder","Sedan - Liability","Sport","40000 to 59000",0,7003,16,400,4,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1995,"Liability"
"6172","May",2,"Friday","Mazda","Urban","Monday","Jun",2,"Male","Married",48,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,10942,8,400,3,"more than 30","more than 30","more than 4","7 years","41 to 50","No","No","External","3 to 5","4 to 8 years","2 vehicles",1995,"Collision"
"6173","Mar",4,"Monday","Pontiac","Urban","Tuesday","Mar",5,"Male","Single",34,"Third Party","Sedan - Liability","Sport","20000 to 29000",0,15320,1,400,2,"more than 30","more than 30","none","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"Liability"
"6174","Jul",2,"Saturday","Toyota","Urban","Tuesday","Aug",1,"Male","Married",29,"Policy Holder","Sedan - All Perils","Sedan","less than 20000",0,14375,9,400,3,"more than 30","more than 30","2 to 4","6 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"All Perils"
"6175","May",2,"Wednesday","Pontiac","Urban","Monday","Jun",3,"Male","Single",28,"Policy Holder","Sedan - Collision","Sedan","less than 20000",0,13703,12,400,1,"more than 30","more than 30","more than 4","5 years","31 to 35","No","No","External","none","no change","1 vehicle",1996,"Collision"
"6176","Aug",5,"Thursday","Chevrolet","Urban","Monday","Sep",1,"Male","Married",55,"Third Party","Sedan - All Perils","Sedan","more than 69000",0,1113,3,400,3,"more than 30","more than 30","none","more than 7","41 to 50","No","No","External","3 to 5","no change","1 vehicle",1994,"All Perils"
"6177","Apr",2,"Wednesday","Pontiac","Urban","Friday","Apr",4,"Male","Married",43,"Policy Holder","Sedan - Collision","Sedan","30000 to 39000",0,1348,11,400,1,"more than 30","more than 30","2 to 4","7 years","36 to 40","No","No","External","3 to 5","no change","1 vehicle",1994,"Collision"
"6178","Feb",4,"Monday","Chevrolet","Urban","Thursday","Mar",1,"Female","Single",51,"Policy Holder","Sedan - Collision","Sedan","20000 to 29000",0,10414,10,400,1,"more than 30","more than 30","none","6 years","41 to 50","No","No","External","none","no change","1 vehicle",1995,"Collision"
"6179","Apr",3,"Monday","Toyota","Urban","Monday","Apr",3,"Male","Married",51,"Policy Holder","Sedan - Liability","Sport","30000 to 39000",0,712,16,400,4,"more than 30","more than 30","2 to 4","more than 7","41 to 50","No","No","External","more than 5","no change","1 vehicle",1994,"Liability"
